Year,month,timestamp,entityid,input_url,wayback_url,failed,fail_reason,output_path
2021,10,2021-10-05 05:04:01,1044265610,www.forian.com,http://web.archive.org/web/20211005050401/https://forian.com/,0,,Jun_5_out_2/1044265610/2021/10/index.html
2021,5,2021-05-14 11:34:41,633093,www.dronedeploy.com,http://web.archive.org/web/20210514113441/https://www.dronedeploy.com/,0,,Jun_5_out_2/633093/2021/5/index.html
2021,11,2021-11-12 03:12:53,633093,www.dronedeploy.com,http://web.archive.org/web/20211112031253/https://www.dronedeploy.com/,0,,Jun_5_out_2/633093/2021/11/index.html
2021,2,2021-02-25 07:13:21,1048397870,www.godoctorg.com,http://web.archive.org/web/20210225071321/https://www.godoctorg.com/,0,,Jun_5_out_2/1048397870/2021/2/index.html
2021,7,2021-07-31 08:11:37,1048397870,www.godoctorg.com,http://web.archive.org/web/20210731081137/https://www.godoctorg.com/,0,,Jun_5_out_2/1048397870/2021/7/index.html
2021,6,2021-06-14 08:49:38,1012646432,www.turnstonebio.com,http://web.archive.org/web/20210614084938/https://turnstonebio.com/,0,,Jun_5_out_2/1012646432/2021/6/index.html
2021,12,2021-12-21 18:37:34,1012646432,www.turnstonebio.com,http://web.archive.org/web/20211221183734/https://turnstonebio.com/,0,,Jun_5_out_2/1012646432/2021/12/index.html
2021,8,2021-08-13 09:28:49,687355,www.scibac.com,http://web.archive.org/web/20210813092849/https://www.scibac.com/,0,,Jun_5_out_2/687355/2021/8/index.html
2022,2,2022-02-15 16:00:39,1011388097,www.tracematters.com,http://web.archive.org/web/20220215160039/https://www.tracematters.com/,0,,Jun_5_out_2/1011388097/2022/2/index.html
2022,8,2022-08-10 20:37:45,1011388097,www.tracematters.com,http://web.archive.org/web/20220810203745/https://www.tracematters.com/,0,,Jun_5_out_2/1011388097/2022/8/index.html
2022,5,2022-05-28 03:20:43,102158,www.unitedvillages.com,http://web.archive.org/web/20220528032043/https://unitedvillages.com/,0,,Jun_5_out_2/102158/2022/5/index.html
2022,12,2022-12-04 14:13:44,102158,www.unitedvillages.com,http://web.archive.org/web/20221204141344/https://unitedvillages.com/,0,,Jun_5_out_2/102158/2022/12/index.html
2022,5,2022-05-17 08:27:30,725238,www.join.build,http://web.archive.org/web/20220517082730/https://join.build/,0,,Jun_5_out_2/725238/2022/5/index.html
2022,11,2022-11-03 11:22:33,725238,www.join.build,http://web.archive.org/web/20221103112233/https://join.build/,0,,Jun_5_out_2/725238/2022/11/index.html
2022,4,2022-04-04 11:50:33,1049393702,www.silkev.com,http://web.archive.org/web/20220404115033/https://www.silkev.com/,0,,Jun_5_out_2/1049393702/2022/4/index.html
2022,1,2022-01-29 02:19:35,1005230216,www.northwesthardwoods.com,http://web.archive.org/web/20220129021935/https://northwesthardwoods.com/,0,,Jun_5_out_2/1005230216/2022/1/index.html
2022,8,2022-08-08 12:44:36,1005230216,www.northwesthardwoods.com,http://web.archive.org/web/20220808124436/https://northwesthardwoods.com/,0,,Jun_5_out_2/1005230216/2022/8/index.html
2022,4,2022-04-28 01:44:59,1045932455,www.risingteam.com,http://web.archive.org/web/20220428014459/https://risingteam.com/,0,,Jun_5_out_2/1045932455/2022/4/index.html
2022,10,2022-10-28 15:55:17,1045932455,www.risingteam.com,http://web.archive.org/web/20221028155517/https://risingteam.com/,0,,Jun_5_out_2/1045932455/2022/10/index.html
2022,9,2022-09-13 14:46:37,1050727898,www.farhomes.com,http://web.archive.org/web/20220913144637/https://farhomes.com/,0,,Jun_5_out_2/1050727898/2022/9/index.html
2022,3,2022-03-15 08:08:01,623464,www.cakestyle.com,http://web.archive.org/web/20220315080801/https://cakestyle.com/,0,,Jun_5_out_2/623464/2022/3/index.html
2022,9,2022-09-26 09:26:33,623464,www.cakestyle.com,http://web.archive.org/web/20220926092633/https://cakestyle.com/,0,,Jun_5_out_2/623464/2022/9/index.html
2022,3,2022-03-16 00:04:44,1044265610,www.forian.com,http://web.archive.org/web/20220316000444/https://forian.com/,0,,Jun_5_out_2/1044265610/2022/3/index.html
2022,9,2022-09-21 15:59:53,1044265610,www.forian.com,http://web.archive.org/web/20220921155953/https://forian.com/,0,,Jun_5_out_2/1044265610/2022/9/index.html
2022,5,2022-05-19 15:08:28,633093,www.dronedeploy.com,http://web.archive.org/web/20220519150828/https://www.dronedeploy.com/,0,,Jun_5_out_2/633093/2022/5/index.html
2022,11,2022-11-12 00:13:04,633093,www.dronedeploy.com,http://web.archive.org/web/20221112001304/https://www.dronedeploy.com/,0,,Jun_5_out_2/633093/2022/11/index.html
2022,2,2022-02-03 08:12:11,1048397870,www.godoctorg.com,http://web.archive.org/web/20220203081211/https://www.godoctorg.com/,0,,Jun_5_out_2/1048397870/2022/2/index.html
2022,8,2022-08-19 04:32:12,1048397870,www.godoctorg.com,http://web.archive.org/web/20220819043212/https://www.godoctorg.com/,0,,Jun_5_out_2/1048397870/2022/8/index.html
2022,7,2022-07-02 23:17:48,1012646432,www.turnstonebio.com,http://web.archive.org/web/20220702231748/https://turnstonebio.com/,0,,Jun_5_out_2/1012646432/2022/7/index.html
2022,4,2022-04-05 00:48:44,687355,www.scibac.com,http://web.archive.org/web/20220405004844/https://www.scibac.com/,0,,Jun_5_out_2/687355/2022/4/index.html
2011,4,2011-04-18 23:29:54,617490,www.300.mg,http://web.archive.org/web/20110418232954/http://300.mg:80/,0,,Jun_5_out_2/617490/2011/4/index.html
2011,10,2011-10-16 14:44:25,617490,www.300.mg,http://web.archive.org/web/20111016144425/http://300.mg:80/,0,,Jun_5_out_2/617490/2011/10/index.html
2011,1,2011-01-31 15:59:40,102158,www.unitedvillages.com,http://web.archive.org/web/20110131155940/http://unitedvillages.com/,0,,Jun_5_out_2/102158/2011/1/index.html
2011,7,2011-07-17 16:35:16,102158,www.unitedvillages.com,http://web.archive.org/web/20110717163516/http://www.unitedvillages.com/,0,,Jun_5_out_2/102158/2011/7/index.html
2011,7,2011-07-14 19:54:53,1005230216,www.northwesthardwoods.com,http://web.archive.org/web/20110714195453/http://www.northwesthardwoods.com/,0,,Jun_5_out_2/1005230216/2011/7/index.html
2011,12,2011-12-28 04:55:42,1005230216,www.northwesthardwoods.com,http://web.archive.org/web/20111228045542/http://northwesthardwoods.com:80/,0,,Jun_5_out_2/1005230216/2011/12/index.html
2011,1,2011-01-31 14:41:19,717186,www.unitedroutes.com,http://web.archive.org/web/20110131144119/http://unitedroutes.com/,0,,Jun_5_out_2/717186/2011/1/index.html
2011,8,2011-08-14 08:18:57,717186,www.unitedroutes.com,http://web.archive.org/web/20110814081857/http://www.unitedroutes.com:80/,0,,Jun_5_out_2/717186/2011/8/index.html
2012,5,2012-05-02 23:45:28,617490,www.300.mg,http://web.archive.org/web/20120502234528/https://300.mg/,0,,Jun_5_out_2/617490/2012/5/index.html
2012,10,2012-10-21 13:13:48,617490,www.300.mg,http://web.archive.org/web/20121021131348/https://300.mg/,0,,Jun_5_out_2/617490/2012/10/index.html
2012,1,2012-01-25 04:24:51,102158,www.unitedvillages.com,http://web.archive.org/web/20120125042451/http://unitedvillages.com:80/,0,,Jun_5_out_2/102158/2012/1/index.html
2012,7,2012-07-06 06:25:33,102158,www.unitedvillages.com,http://web.archive.org/web/20120706062533/http://www.unitedvillages.com:80/,0,,Jun_5_out_2/102158/2012/7/index.html
