,entityid,timestamp,notes
0,1005469463,20180422060431,missingFile
1,1022973248,20040518010554,emptyFile
2,614082,20220120124053,missingFile
3,1012234529,20160713112403,missingFile
4,1006438610,20130624141346,missingFile
5,1049087828,20180203083852,emptyFile
6,1049087828,20190101192221,emptyFile
7,680849,20200521192346,missingFile
8,614021,20210328084043,missingFile
9,631490,20051104230432,emptyFile
10,631490,20060613194825,emptyFile
11,631490,20141220053754,missingFile
12,664530,20200929233414,missingFile
13,63954,20150801064928,emptyFile
14,63954,20160411165033,emptyFile
15,613156,20050205003407,missingFile
16,613156,20100125113442,missingFile
17,604701,20140130205331,emptyFile
18,79012,20090106033644,missingFile
19,1008515873,20100727040828,missingFile
20,1008515873,20170710162348,missingFile
21,1046555318,20220121223837,missingFile
22,88379,19981111184947,emptyFile
23,88379,19990225165908,emptyFile
24,88379,19990427211131,emptyFile
25,88379,20000302172055,emptyFile
26,88379,20000623231821,emptyFile
27,658980,20060716060801,emptyFile
28,1005544955,20160611025845,emptyFile
29,704944,20191206130847,missingFile
30,1016910443,20140303173131,emptyFile
31,615959,20141230154604,missingFile
32,713889,20170617012945,emptyFile
33,713889,20180719125351,emptyFile
34,713889,20181106183209,emptyFile
35,713889,20190720044136,emptyFile
36,652279,20130603213315,missingFile
37,1052089913,20180809190634,emptyFile
38,663427,20201109223225,missingFile
39,634617,20180425160304,missingFile
40,625076,20190723105237,emptyFile
41,625076,20200120202623,emptyFile
42,625076,20200220011948,emptyFile
43,68189,20100121164341,missingFile
44,1008965252,20090425092004,missingFile
45,1008965252,20110107145650,missingFile
46,1008965252,20130828001400,missingFile
47,1022714642,20130603232525,unparsable
48,1022714642,20131230171621,unparsable
49,1022714642,20140517123604,unparsable
50,1022714642,20141217090456,unparsable
51,1022714642,20150506061750,unparsable
52,1022714642,20160110024110,unparsable
53,1022714642,20160425114143,unparsable
54,655127,20161223110433,emptyFile
55,692349,20230330051732,emptyFile
56,715044,20210724122808,missingFile
57,676500,20190718192738,missingFile
58,1009325513,20140111115352,missingFile
59,730964,20210416191629,missingFile
60,675844,20160715013434,missingFile
61,89696,20040614031638,emptyFile
62,89696,20110208102809,emptyFile
63,89696,20120721082203,emptyFile
64,89696,20121230042906,emptyFile
65,89696,20130621145341,emptyFile
66,89696,20141218042419,emptyFile
67,89696,20160110082508,emptyFile
68,89696,20170428215035,emptyFile
69,89696,20170912052325,emptyFile
70,89696,20180314071258,emptyFile
71,89696,20180807083847,emptyFile
72,89696,20190814053249,emptyFile
73,89696,20220325093653,emptyFile
74,89696,20221207052405,emptyFile
75,1009851986,20220712223207,emptyFile
76,1009851986,20230129064921,emptyFile
77,1009851986,20230521140458,emptyFile
78,1026451739,20230130150439,missingFile
79,654336,20140122232027,emptyFile
80,1008303536,20180623184700,missingFile
81,1005461570,20230519155303,emptyFile
82,659685,20140627061705,missingFile
83,1008232922,20160726041705,missingFile
84,1016986529,20160912213656,missingFile
85,1016986529,20200926063516,missingFile
86,1026716231,20220123115448,missingFile
87,614999,20221201143023,emptyFile
88,632166,20080515011144,emptyFile
89,89927,19981212033825,emptyFile
90,89927,19990218123950,emptyFile
91,89927,20000303214627,emptyFile
92,89927,20001018000620,emptyFile
93,89927,20010405040541,emptyFile
94,89927,20011128081119,emptyFile
95,89927,20020523184436,emptyFile
96,89927,20021125213636,emptyFile
97,89927,20030324201149,emptyFile
98,89927,20031125163805,emptyFile
99,89927,20040518100833,emptyFile
100,89927,20041126152157,emptyFile
101,89927,20050418232749,emptyFile
102,89927,20051124104048,emptyFile
103,89927,20060104221144,emptyFile
104,89927,20060627081042,emptyFile
105,89927,20080915182527,emptyFile
106,89927,20090525234509,emptyFile
107,89927,20100718163617,emptyFile
108,89927,20110724103526,emptyFile
109,89927,20121101211307,emptyFile
110,89927,20130719110117,emptyFile
111,89927,20140210231149,emptyFile
112,89927,20150501193004,emptyFile
113,89927,20170424052816,emptyFile
114,89927,20180419015523,emptyFile
115,89927,20181111172413,emptyFile
116,89927,20190801071116,emptyFile
117,632061,20180815174819,missingFile
118,87087,20060716012405,emptyFile
119,616877,20210502214414,emptyFile
120,705323,20181207110703,missingFile
121,635341,20181123174713,missingFile
122,653226,20190730052547,emptyFile
123,683655,20180516090811,missingFile
124,1051774247,20220704213836,missingFile
125,696206,20230203002708,emptyFile
126,697216,20161107095738,emptyFile
127,82102,20090716195544,missingFile
128,82102,20120125031519,missingFile
129,713643,20180322013909,missingFile
130,76495,20070124225744,emptyFile
131,665143,20150610122905,emptyFile
132,1049767076,20230402034600,emptyFile
133,63908,20120106183420,missingFile
134,687101,20200726175908,missingFile
135,88084,20010331092811,emptyFile
136,1026328115,20010924171703,missingFile
137,735442,20161219080626,emptyFile
138,63022,20040728101914,missingFile
139,1027717994,20210723155315,emptyFile
140,1010020961,20180710060227,missingFile
141,1010020961,20200723234432,missingFile
142,704028,20180602092428,missingFile
143,655491,20130115192756,emptyFile
144,654385,20130622204322,emptyFile
145,654385,20170706220434,emptyFile
146,654385,20170929223526,emptyFile
147,1009958780,20210126104537,missingFile
148,1051791608,20201023022753,missingFile
149,68335,20061205054217,missingFile
150,616916,20140111082417,missingFile
151,66755,20031213224246,missingFile
152,659420,20200110005050,missingFile
153,1023272948,20030729232755,missingFile
154,674390,20150426054456,missingFile
155,675853,20170118085509,emptyFile
156,675853,20170730053000,emptyFile
157,675853,20171106155729,emptyFile
158,1051301135,20210727131507,missingFile
159,650692,20100127231051,emptyFile
160,705821,20140517045459,emptyFile
161,1045817966,20201119191518,emptyFile
162,670461,20171015084812,missingFile
163,62331,20010923014839,missingFile
164,62331,20070831091738,missingFile
165,62331,20080607013742,missingFile
166,62331,20090225113834,missingFile
167,62331,20100822141323,missingFile
168,62331,20161003040124,missingFile
169,62331,20170607132251,missingFile
170,62331,20190705222510,missingFile
171,1045432973,20220701080008,emptyFile
172,72969,20220331044142,emptyFile
173,89379,20051210032341,emptyFile
174,89379,20060716092956,emptyFile
175,89379,20070127071008,emptyFile
176,89379,20070625013320,emptyFile
177,89379,20071212113736,emptyFile
178,1026318386,20210420122512,missingFile
179,684224,20160120030000,missingFile
180,1043486840,20180828022033,emptyFile
181,74367,20070715173336,missingFile
182,1008963848,20220127165356,missingFile
183,62452,20130529215020,missingFile
184,62452,20181116031352,missingFile
185,626378,20210917060314,missingFile
186,675964,20141011010204,missingFile
187,1013201579,20210729061823,emptyFile
188,1022413619,20160112024339,missingFile
189,652049,20220925015652,emptyFile
190,1046400122,20160111131506,emptyFile
191,1044998336,20160121205718,emptyFile
192,627614,20100607134603,missingFile
193,88317,19981203051803,emptyFile
194,88317,19990125101741,emptyFile
195,88317,19990504074758,emptyFile
196,88317,20000605220814,emptyFile
197,88317,20010124030700,emptyFile
198,88317,20010207153423,emptyFile
199,88159,20130619134616,emptyFile
200,88159,20140102183856,emptyFile
201,68590,19991128232727,missingFile
202,671959,20170129032525,missingFile
203,1050312575,19990125095122,missingFile
204,1050312575,20040129011517,missingFile
205,1050312575,20160110203952,missingFile
206,1050312575,20180726093602,missingFile
207,1050312575,20220707153336,missingFile
208,1005493745,20161021092338,missingFile
209,56367,20000304081239,emptyFile
210,667659,20201128053135,missingFile
211,88954,20010202130300,emptyFile
212,88954,20010515215557,emptyFile
213,88954,20030603083310,emptyFile
214,88954,20070312044007,emptyFile
215,88954,20110202114111,emptyFile
216,88954,20130718054030,emptyFile
217,88954,20140105024534,emptyFile
218,88954,20140208033510,emptyFile
219,88954,20170525131236,emptyFile
220,88954,20230327044227,emptyFile
221,650985,20151030025933,emptyFile
222,633188,20131026042612,missingFile
223,687346,20140516224626,missingFile
224,716863,20210617194249,missingFile
225,1028457938,20170711034500,emptyFile
226,63588,20130113062412,missingFile
227,699592,20230515041108,missingFile
228,670416,20141230201714,missingFile
229,670416,20160628142814,missingFile
230,66158,20050830065606,emptyFile
231,715924,20230521051324,missingFile
232,609967,20130926173914,missingFile
233,60840,20161228155324,missingFile
234,1011540008,20160711183613,missingFile
235,90438,20000229194025,emptyFile
236,90438,20000707024108,emptyFile
237,90438,20010130091500,emptyFile
238,90438,20010720201109,emptyFile
239,90438,20020124123414,emptyFile
240,90438,20020726214011,emptyFile
241,90438,20030129233947,emptyFile
242,90438,20030727150411,emptyFile
243,90438,20031206163129,emptyFile
244,90438,20040611152347,emptyFile
245,1005382325,20070820023541,missingFile
246,697227,20230322111206,emptyFile
247,688729,20201005190454,missingFile
248,683325,20160803140815,missingFile
249,626493,20110207234323,missingFile
250,625369,20190409063124,emptyFile
251,621227,20120130204318,missingFile
252,616288,20140626135314,missingFile
253,90439,19970401223823,emptyFile
254,90439,19970605095959,emptyFile
255,90439,19980113194548,emptyFile
256,90439,19980703221932,emptyFile
257,90439,19990127181737,emptyFile
258,90439,19990429131937,emptyFile
259,90439,19991013032814,emptyFile
260,655116,20130308055654,emptyFile
261,655116,20150531203554,emptyFile
262,1045943822,20220126141829,emptyFile
263,1011746450,20220719165252,missingFile
264,653023,20140531012806,emptyFile
265,653023,20150801184531,emptyFile
266,728813,20071116212756,emptyFile
267,1023216419,20220703081641,missingFile
268,57498,20130811184550,emptyFile
269,673038,20180729123004,missingFile
270,735396,20180729003939,emptyFile
271,1031891708,20190109051801,emptyFile
272,1018234262,20210616180120,missingFile
273,1005353390,20210727055542,missingFile
274,74492,20220610205631,missingFile
275,654790,20221126114540,emptyFile
276,88804,20011130174217,emptyFile
277,88804,20020402040432,emptyFile
278,88804,20031130004411,emptyFile
279,88804,20050126022426,emptyFile
280,88804,20050730232337,emptyFile
281,88804,20060129100745,emptyFile
282,88804,20060726105140,emptyFile
283,88804,20070126101145,emptyFile
284,88804,20070727160746,emptyFile
285,88804,20080129120914,emptyFile
286,88804,20080730153719,emptyFile
287,88804,20090125233532,emptyFile
288,88804,20090730113600,emptyFile
289,88804,20100127191014,emptyFile
290,88804,20100727184657,emptyFile
291,88804,20110129040859,emptyFile
292,88804,20110728183019,emptyFile
293,88804,20111210164311,emptyFile
294,1009423694,20140515092905,missingFile
295,612099,20170106015529,missingFile
296,612099,20200224052119,missingFile
297,90665,19961221044811,emptyFile
298,90665,19970414125155,emptyFile
299,90665,19980704213405,emptyFile
300,90665,20000511050834,emptyFile
301,90665,20010119170800,emptyFile
302,90665,20010515164107,emptyFile
303,90665,20020727104819,emptyFile
304,90665,20021129011136,emptyFile
305,90665,20030719045857,emptyFile
306,90665,20031228150205,emptyFile
307,90665,20040727103459,emptyFile
308,90665,20050127215010,emptyFile
309,90665,20050724014036,emptyFile
310,90665,20060110092008,emptyFile
311,90665,20060720234141,emptyFile
312,90665,20070125001103,emptyFile
313,90665,20070426103849,emptyFile
314,696753,20130805200049,emptyFile
315,696753,20220819225319,emptyFile
316,611201,20160624000952,missingFile
317,89060,19961230120746,emptyFile
318,89060,19970703195633,emptyFile
319,89060,19971211110547,emptyFile
320,89060,19980628095913,emptyFile
321,89060,19981212031741,emptyFile
322,89060,20000711014018,emptyFile
323,89060,20000816061716,missingFile
324,89060,20010513002637,missingFile
325,89060,20030124152315,missingFile
326,89060,20030722140807,missingFile
327,89060,20040126081547,missingFile
328,89060,20040722075345,missingFile
329,89060,20050129092946,missingFile
330,89060,20050711075719,missingFile
331,89060,20080520114301,missingFile
332,89060,20140108150539,missingFile
333,1026537383,20001207165400,missingFile
334,616310,20080905171442,missingFile
335,62994,20041127024543,missingFile
336,62994,20050529074253,missingFile
337,1008475796,20180129193440,missingFile
338,1008475796,20200721221727,missingFile
339,1011992672,20140517092800,emptyFile
340,88042,20021127220404,missingFile
341,85751,20140517231708,emptyFile
342,85870,20220201055347,emptyFile
343,1011449189,20210118072733,missingFile
344,610378,20120705143915,missingFile
345,1013208293,20120704141208,emptyFile
346,704003,20220218224611,missingFile
347,63046,20161228204945,missingFile
348,1012555397,20160125105711,missingFile
349,1005630662,20140326154929,missingFile
350,660089,20180224110305,missingFile
351,735329,20170708072956,emptyFile
352,1028760896,20170722084948,emptyFile
353,628381,20080608124506,missingFile
354,628381,20110616141930,missingFile
355,80560,20140702112148,missingFile
356,701695,20170314193715,missingFile
357,1013023064,20160326055709,emptyFile
358,703406,20160319151500,emptyFile
359,695780,20230127101530,emptyFile
360,605180,20190305213420,emptyFile
361,611737,20190701152442,missingFile
362,471212,20190729085224,emptyFile
363,72469,20091117125005,missingFile
364,80811,20201025184759,missingFile
365,76505,20111230182835,emptyFile
366,626481,20170330035105,missingFile
367,611467,20140130225353,missingFile
368,628674,20160113194552,missingFile
369,1006018265,20080518102637,emptyFile
370,1011537164,20191109052857,missingFile
371,620718,20121225124147,missingFile
372,65964,20140103155750,emptyFile
373,1015558157,20161220155151,emptyFile
374,1015558157,20230124072236,emptyFile
375,1015558157,20230604195004,emptyFile
376,1016021369,20020604204350,missingFile
377,650686,20220117200119,emptyFile
378,628699,20100709033800,emptyFile
379,684553,20150515014854,missingFile
380,684553,20170715033425,missingFile
381,684553,20210126172615,missingFile
382,605754,20170927090424,emptyFile
383,62443,20140627133604,missingFile
384,1008821954,20130614102617,missingFile
385,664237,20210730231042,emptyFile
386,664237,20220125022525,emptyFile
387,664237,20220529051132,emptyFile
388,664237,20221221215216,emptyFile
389,664237,20230521045610,emptyFile
390,64980,20190315124938,emptyFile
391,64980,20191021075620,emptyFile
392,55838,20051026143444,emptyFile
393,1022942927,20070415132148,missingFile
394,1010879516,19971010113942,missingFile
395,1010879516,20220121205514,missingFile
396,54261,20070607152358,emptyFile
397,59763,20000707004725,emptyFile
398,662832,20220424185714,missingFile
399,89626,20070526075229,emptyFile
400,89626,20070702010629,emptyFile
401,89626,20080129205248,emptyFile
402,89626,20080517082511,emptyFile
403,89626,20090122062610,emptyFile
404,89626,20090730072824,emptyFile
405,89626,20091216090534,emptyFile
406,89626,20100209124838,emptyFile
407,89626,20110714011204,emptyFile
408,89626,20120118205355,emptyFile
409,89626,20120715143558,emptyFile
410,89626,20120927134936,emptyFile
411,89626,20130603054003,emptyFile
412,89626,20140107212243,emptyFile
413,89626,20140701141616,emptyFile
414,89626,20150109200304,emptyFile
415,89626,20150620005223,emptyFile
416,89626,20151118214234,emptyFile
417,1022773880,20141219023659,missingFile
418,1022773880,20210123115503,missingFile
419,614219,20140116191225,missingFile
420,686051,20170609203452,emptyFile
421,623337,20190320050352,missingFile
422,605726,20110423140534,emptyFile
423,60420,20130722134858,emptyFile
424,664760,20120725062253,missingFile
425,727596,20190926113301,emptyFile
426,736973,20210707101340,missingFile
427,65546,20210620032927,missingFile
428,619462,20230531180807,emptyFile
429,682099,20181229013703,missingFile
430,88839,20000818135315,emptyFile
431,88839,20010330030246,emptyFile
432,88839,20010925152835,emptyFile
433,88839,20020929213631,emptyFile
434,88839,20030215131506,emptyFile
435,88839,20030923190945,emptyFile
436,88839,20040208132720,emptyFile
437,88839,20040808015839,emptyFile
438,88839,20041206020527,emptyFile
439,90052,20200529104121,missingFile
440,726335,20010924055837,emptyFile
441,726335,20011130102809,emptyFile
442,698787,20141218085344,emptyFile
443,627913,20180816170109,missingFile
444,1010746532,20160110160843,missingFile
445,703354,20190109130852,emptyFile
446,703354,20191213033334,emptyFile
447,703354,20200619015507,emptyFile
448,703354,20211127141946,emptyFile
449,703354,20221206044235,emptyFile
450,703354,20230314051633,emptyFile
451,713342,20230401113155,missingFile
452,1015561649,20120622063718,emptyFile
453,73535,20161006084923,emptyFile
454,667149,20150712041549,missingFile
455,65551,20011018000828,emptyFile
456,62320,20140830045627,missingFile
457,57678,20051109031539,emptyFile
458,86059,20220628221817,emptyFile
459,672399,20160327000839,missingFile
460,719939,20180312060351,missingFile
461,1009975025,20150720133730,missingFile
462,1009975025,20171214114250,missingFile
463,612728,20140606103502,missingFile
464,1004165678,20210729190759,missingFile
465,59895,20040526054123,emptyFile
