,entityid,domain,time_of_run,failed,reason_for_failure,file_path
83,63189,www.claritymsi.com,2023-06-09 01:44:31,1,ConnectionError,
84,63191,www.claritycard.com,2023-06-09 01:44:31,1,ConnectionError,
85,63193,www.claritycvc.com,2023-06-09 01:44:32,1,ConnectionError,
86,63194,www.clarityvisual.com,2023-06-09 01:44:32,1,ConnectionError,
87,63195,www.clarivest.com,2023-06-09 01:44:32,1,ConnectionError,
88,63196,www.clarizen.com,2023-06-09 01:44:32,1,ConnectionError,
89,63205,www.cmxr.com,2023-06-09 01:44:32,1,ConnectionError,
90,63208,www.clarosdx.com,2023-06-09 01:44:32,1,ConnectionError,
91,63209,www.claruscorp.com,2023-06-09 01:44:32,1,ConnectionError,
92,63210,www.clarus-medical.com,2023-06-09 01:44:32,1,ConnectionError,
93,63211,www.clarussystems.com,2023-06-09 01:44:32,1,ConnectionError,
94,63212,www.clarustherapeutics.com,2023-06-09 01:44:32,1,ConnectionError,
95,63217,www.classic-cable.com,2023-06-09 01:44:32,1,ConnectionError,
96,63226,www.classlink.com,2023-06-09 01:44:32,1,ConnectionError,
97,63227,www.classmap.com,2023-06-09 01:44:32,1,ConnectionError,
98,63228,www.classmates.com,2023-06-09 01:44:32,1,ConnectionError,
99,63229,www.classroom.net,2023-06-09 01:44:32,1,ConnectionError,
100,63231,www.classwell.com,2023-06-09 01:44:32,1,ConnectionError,
101,63242,www.cdr-inc.com,2023-06-09 01:44:32,1,ConnectionError,
102,63246,www.cleanairpower.com,2023-06-09 01:44:32,1,ConnectionError,
103,63247,www.cleancommunications.com,2023-06-09 01:44:32,1,ConnectionError,
104,63251,www.cleanfish.com,2023-06-09 01:44:32,1,ConnectionError,
105,63254,www.clearalign.com,2023-06-09 01:44:32,1,ConnectionError,
106,63257,www.clear.com,2023-06-09 01:44:32,1,ConnectionError,
107,63262,www.clearshape.com,2023-06-09 01:44:32,1,ConnectionError,
108,63263,www.clear-technology.com,2023-06-09 01:44:32,1,ConnectionError,
109,63264,www.clearvascular.com,2023-06-09 01:44:32,1,ConnectionError,
110,63267,www.clearaccess.com,2023-06-09 01:44:32,1,ConnectionError,
111,63268,www.clearant.com,2023-06-09 01:44:32,1,ConnectionError,
