entityid,domain,time_of_run,download_timestamp,download_url,failed,reason_for_failure,failure_description,file_path
623659,www.jamcity.com,2023-06-15 13:05:22,20140102142324,https://web.archive.org/web/20140102142324/www.jamcity.com,0,,,data/html/623659/2014/01/index.html
623659,www.jamcity.com,2023-06-15 13:05:27,20140519030031,https://web.archive.org/web/20140519030031/www.jamcity.com,0,,,data/html/623659/2014/05/index.html
623659,www.jamcity.com,2023-06-15 13:05:31,20141217110846,https://web.archive.org/web/20141217110846/www.jamcity.com,0,,,data/html/623659/2014/12/index.html
623659,www.jamcity.com,2023-06-15 13:05:35,20150801121330,https://web.archive.org/web/20150801121330/www.jamcity.com,0,,,data/html/623659/2015/08/index.html
623659,www.jamcity.com,2023-06-15 13:05:38,20160109155148,https://web.archive.org/web/20160109155148/www.jamcity.com,0,,,data/html/623659/2016/01/index.html
623659,www.jamcity.com,2023-06-15 13:05:42,20161119101223,https://web.archive.org/web/20161119101223/www.jamcity.com,0,,,data/html/623659/2016/11/index.html
623659,www.jamcity.com,2023-06-15 13:05:46,20170528052056,https://web.archive.org/web/20170528052056/www.jamcity.com,0,,,data/html/623659/2017/05/index.html
623659,www.jamcity.com,2023-06-15 13:05:48,20171112161606,https://web.archive.org/web/20171112161606/www.jamcity.com,0,,,data/html/623659/2017/11/index.html
623659,www.jamcity.com,2023-06-15 13:05:51,20180530115902,https://web.archive.org/web/20180530115902/www.jamcity.com,0,,,data/html/623659/2018/05/index.html
623659,www.jamcity.com,2023-06-15 13:05:52,20181129073319,https://web.archive.org/web/20181129073319/www.jamcity.com,0,,,data/html/623659/2018/11/index.html
623659,www.jamcity.com,2023-06-15 13:05:54,20190525003100,https://web.archive.org/web/20190525003100/www.jamcity.com,0,,,data/html/623659/2019/05/index.html
623659,www.jamcity.com,2023-06-15 13:05:57,20191129081915,https://web.archive.org/web/20191129081915/www.jamcity.com,0,,,data/html/623659/2019/11/index.html
623659,www.jamcity.com,2023-06-15 13:06:00,20200521083400,https://web.archive.org/web/20200521083400/www.jamcity.com,0,,,data/html/623659/2020/05/index.html
623659,www.jamcity.com,2023-06-15 13:06:02,20201124162829,https://web.archive.org/web/20201124162829/www.jamcity.com,0,,,data/html/623659/2020/11/index.html
623659,www.jamcity.com,2023-06-15 13:06:04,20210521171409,https://web.archive.org/web/20210521171409/www.jamcity.com,0,,,data/html/623659/2021/05/index.html
623659,www.jamcity.com,2023-06-15 13:06:06,20211128080428,https://web.archive.org/web/20211128080428/www.jamcity.com,0,,,data/html/623659/2021/11/index.html
623659,www.jamcity.com,2023-06-15 13:06:08,20220528095140,https://web.archive.org/web/20220528095140/www.jamcity.com,0,,,data/html/623659/2022/05/index.html
623659,www.jamcity.com,2023-06-15 13:06:13,20221127194551,https://web.archive.org/web/20221127194551/www.jamcity.com,0,,,data/html/623659/2022/11/index.html
623659,www.jamcity.com,2023-06-15 13:06:15,20230505015215,https://web.archive.org/web/20230505015215/www.jamcity.com,0,,,data/html/623659/2023/05/index.html
623659,www.jamcity.com,2023-06-15 13:06:17,20230604012308,https://web.archive.org/web/20230604012308/www.jamcity.com,0,,,data/html/623659/2023/06/index.html
1048204379,www.heygov.com,2023-06-15 13:06:24,20200919111245,https://web.archive.org/web/20200919111245/www.heygov.com,0,,,data/html/1048204379/2020/09/index.html
1048204379,www.heygov.com,2023-06-15 13:06:26,20210116083812,https://web.archive.org/web/20210116083812/www.heygov.com,0,,,data/html/1048204379/2021/01/index.html
1048204379,www.heygov.com,2023-06-15 13:06:29,20210729151836,https://web.archive.org/web/20210729151836/www.heygov.com,0,,,data/html/1048204379/2021/07/index.html
1048204379,www.heygov.com,2023-06-15 13:06:32,20220130235002,https://web.archive.org/web/20220130235002/www.heygov.com,0,,,data/html/1048204379/2022/01/index.html
1048204379,www.heygov.com,2023-06-15 13:06:34,20220729235653,https://web.archive.org/web/20220729235653/www.heygov.com,0,,,data/html/1048204379/2022/07/index.html
1048204379,www.heygov.com,2023-06-15 13:06:36,20230126014210,https://web.archive.org/web/20230126014210/www.heygov.com,0,,,data/html/1048204379/2023/01/index.html
1048204379,www.heygov.com,2023-06-15 13:06:39,20230526084106,https://web.archive.org/web/20230526084106/www.heygov.com,0,,,data/html/1048204379/2023/05/index.html
1027760564,www.thecaddienetwork.com,2023-06-15 13:06:42,20180625123211,https://web.archive.org/web/20180625123211/www.thecaddienetwork.com,0,,,data/html/1027760564/2018/06/index.html
1027760564,www.thecaddienetwork.com,2023-06-15 13:06:45,20181210224641,https://web.archive.org/web/20181210224641/www.thecaddienetwork.com,0,,,data/html/1027760564/2018/12/index.html
1027760564,www.thecaddienetwork.com,2023-06-15 13:06:48,20191008004637,https://web.archive.org/web/20191008004637/www.thecaddienetwork.com,0,,,data/html/1027760564/2019/10/index.html
1027760564,www.thecaddienetwork.com,2023-06-15 13:06:54,20200521180259,https://web.archive.org/web/20200521180259/www.thecaddienetwork.com,0,,,data/html/1027760564/2020/05/index.html
1027760564,www.thecaddienetwork.com,2023-06-15 13:06:57,20210116152401,https://web.archive.org/web/20210116152401/www.thecaddienetwork.com,0,,,data/html/1027760564/2021/01/index.html
